alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio
GILES|JALES|JOALES|JOELES|JOILES|JULES,M,JAILES,,53,53,2268,JALES,1.0
GEIELI|GEILI|GELI|GELIR|GELY|GIELI|GILEI|GILI|GIULI|GIULY|GLEI|GLEY|GUILI|JAELI|JAELY|JAILY|JALI|JALIR|JEIELI|JEILI|JELI|JELY|JHULI|JHULY|JIULI|JIULY|JOALI|JOELI|JOELIR|JOELY|JOLI|JOLY|JUELI|JUELY|JUILI|JULEI|JULEY|JULHI|JULHY|JULI|JULII|JULIY|JULY,F,JAILI,56,,56,14263,JULI,1.0
GALIANE|GEILAINE|GEILIANE|GELAINE|GELIANE|GEULIANE|GILAINE|GILAYNE|GILIANE|GILIANNE|GIULIANE|GIULIANNE|GIULYANE|GLAINE|GLAYNE|GLIANE|GUILIANE|GULIANE|JAILAINE|JALIANE|JEILIANE|JELAINE|JELIANE|JHULIANE|JHULYANE|JILAINE|JILIANE|JIULIANE|JOELAINE|JOELIANE|JOLAINE|JOLIANE|JUILIANE|JULAINE|JULHIANE|JULIANE|JULIANNE|JULYANE|JULYANNE,F,JAILIANE,20,,20,67760,JULIANE,1.0
GELINE|GILEINE|GIULINE|GLEINE|GLEINER|GLEYNE|JAELINE|JALINE|JAUELINE|JAYLINE|JELINE|JOALINE|JOELINE|JOLINE|JUELINE|JULEINE|JULIEINE|JULINE,F,JAILINE,189,,189,2869,JALINE,1.0
GEALISON|GEELISON|GELISON|GIALISON|GIELISON|GLEISOM|GLEISON|GLEYSOM|GLEYSON|GLISON|GLYSON|JAELISON|JALISOM|JALISON|JALYSON|JEALISON|JELISON|JOALISOM|JOALISON|JOALYSON|JOELISOM|JOELISON|JOELYSON|JOLISON|JUALISON|JUELISON|JULISON,M,JAILISON,,41,41,32472,GLEISON,1.0
GIULLA|JALILA|JAYLLA,F,JAILLA,24,,24,311,JALILA,1.0
GELLI|GELLY|GILLY|GIULLI|GIULLY|JAELLY|JALILI|JELLY|JHELLY|JHULLI|JHULLY|JIULLY|JOELLI|JOELLY|JOLLY|JUHLLY|JULIELI|JULIELY|JULLI|JULLY,F,JAILLY,32,,32,5463,JULLY,1.0
GEILMA|GELMA|GELMAR|GIELMA|GIILMAR|GILMA|GILMAR|GIULMAR|GLMAR|GOELMA|GOLMAR|GUELMA|GUELMAR|GUIELMAR|GUILMA|GUILMAR|GULMAR|JAELMA|JAILMAR|JALMA|JALMAR|JEILMA|JELMA|JELMAR|JIELMA|JILMA|JILMAR|JIULMAR|JOELMA|JOELMAR|JOILMA|JOILMAR|JOLMA|JOLMAR|JUELMA|JUILMA|JULMA|JULMAR,F,JAILMA,9881,38,9919,290856,GILMAR,0.9961689686460329
GEILMA|GELMA|GELMAR|GIELMA|GIILMAR|GILMA|GILMAR|GIULMAR|GLMAR|GOELMA|GOLMAR|GUELMA|GUELMAR|GUIELMAR|GUILMA|GUILMAR|GULMAR|JAELMA|JAILMA|JALMA|JALMAR|JEILMA|JELMA|JELMAR|JIELMA|JILMA|JILMAR|JIULMAR|JOELMA|JOELMAR|JOILMA|JOILMAR|JOLMA|JOLMAR|JUELMA|JUILMA|JULMA|JULMAR,F,JAILMAR,30,,30,290856,GILMAR,1.0
GELMO|GILMO|GILMOR|JAELMO|JALMO|JOELMO|JOILMO,M,JAILMO,,59,59,1382,JOELMO,1.0
GALO|GILO|JAULO|JOELHO|JUILO|JULHO|JULHOR|JULO|JULUO|JULYO,M,JAILO,,56,56,11870,JULHO,1.0
GELON|GILON|JALOM|JALON|JOELON|JOILON,M,JAILON,,221,221,600,JAILON,1.0
GEILSA|GEILZA|GELSA|GELZA|GIELZA|GILSA|GILZA|JAELSA|JAELZA|JAILZA|JEILSA|JEILZA|JELSA|JELZA|JILSA|JILZA|JOELSA|JOELZA|JOILSA|JOILZA,F,JAILSA,1326,,1326,19466,GILZA,1.0
GEILSE|GELSE|GILSE|GILSER|GILZE|JAILZE|JELSE|JILSE|JOELSE|JOILSE|JOLSE,F,JAILSE,94,,94,1376,GILSE,1.0
GEILSO|GELSO|GELZO|GILSO|GILZO|JAELSO|JAILZO|JEILSO|JELSO|JILSO|JOELSO|JOELZO|JOILSO,M,JAILSO,,1132,1132,9310,GILSO,1.0
GAILSON|GEELSON|GEILSOM|GEILSON|GELSOM|GELSON|GELZON|GEOLSON|GEYLSON|GIELSON|GIILSON|GILSOM|GILSON|GILZON|GLSON|GOELSON|GOILSON|GOLSON|GUELSON|GUILSON|GYLSON|JAELSOM|JAELSON|JAILSON|JALSON|JAYLSON|JEILSOM|JEILSON|JELSOM|JELSON|JIELSON|JILSOM|JILSON|JOAILSON|JOALSON|JOEILSON|JOELSOM|JOELSON|JOILSOM|JOILSON|JOLSON|JOYLSON|JUELSON|JUILSON|JULSON,M,JAILSOM,,3041,3041,348796,GILSON,1.0
GAILSON|GEELSON|GEILSOM|GEILSON|GELSOM|GELSON|GELZON|GEOLSON|GEYLSON|GIELSON|GIILSON|GILSOM|GILSON|GILZON|GLSON|GOELSON|GOILSON|GOLSON|GUELSON|GUILSON|GYLSON|JAELSOM|JAELSON|JAILSOM|JALSON|JAYLSON|JEILSOM|JEILSON|JELSOM|JELSON|JIELSON|JILSOM|JILSON|JOAILSON|JOALSON|JOEILSON|JOELSOM|JOELSON|JOILSOM|JOILSON|JOLSON|JOYLSON|JUELSON|JUILSON|JULSON,M,JAILSON,277,75076,75353,348796,GILSON,0.9963239685214922
GEILSSON|GELSSON|GILSSOM|GILSSON|JAELSSON|JAILSSOM|JEILSSON|JELSSON|JILSSON|JOELSSOM|JOELSSON|JOILSSON,M,JAILSSON,,414,414,1288,JAILSSON,1.0
GELTA|GILTA|JOILTA,F,JAILTA,124,,124,331,GELTA,1.0
GEILTO|GELTO|GILTO|JAELTO|JEILTO|JILTO|JOELTO|JOILTO,M,JAILTO,,1497,1497,2247,JAILTO,1.0
GAILTON|GEILTOM|GEILTON|GELTOM|GELTON|GIELTON|GILTOM|GILTON|JAELTON|JAILTON|JALTON|JAYLTON|JEILTOM|JEILTON|JELTON|JILTON|JOAILTON|JOEILTON|JOELTOM|JOELTON|JOILTOM|JOILTON|JUELTON|JUILTON,M,JAILTOM,,1487,1487,51061,JAILTON,1.0
GAILTON|GEILTOM|GEILTON|GELTOM|GELTON|GIELTON|GILTOM|GILTON|JAELTON|JAILTOM|JALTON|JAYLTON|JEILTOM|JEILTON|JELTON|JILTON|JOAILTON|JOEILTON|JOELTOM|JOELTON|JOILTOM|JOILTON|JUELTON|JUILTON,M,JAILTON,134,36943,37077,51061,JAILTON,0.9963858996143161
GELVA|GELVAR|GILVA|GILVAR|JALVA|JELVA|JILVA|JILVAR|JOELVA,F,JAILVA,20,,20,2249,GILVA,1.0
GEIELI|GEILI|GELI|GELIR|GELY|GIELI|GILEI|GILI|GIULI|GIULY|GLEI|GLEY|GUILI|JAELI|JAELY|JAILI|JALI|JALIR|JEIELI|JEILI|JELI|JELY|JHULI|JHULY|JIULI|JIULY|JOALI|JOELI|JOELIR|JOELY|JOLI|JOLY|JUELI|JUELY|JUILI|JULEI|JULEY|JULHI|JULHY|JULI|JULII|JULIY|JULY,F,JAILY,44,,44,14263,JULI,1.0
GEILSA|GEILZA|GELSA|GELZA|GIELZA|GILSA|GILZA|JAELSA|JAELZA|JAILSA|JEILSA|JEILZA|JELSA|JELZA|JILSA|JILZA|JOELSA|JOELZA|JOILSA|JOILZA,F,JAILZA,2200,,2200,19466,GILZA,1.0
GEILSE|GELSE|GILSE|GILSER|GILZE|JAILSE|JELSE|JILSE|JOELSE|JOILSE|JOLSE,F,JAILZE,30,,30,1376,GILSE,1.0
GEILSO|GELSO|GELZO|GILSO|GILZO|JAELSO|JAILSO|JEILSO|JELSO|JILSO|JOELSO|JOELZO|JOILSO,M,JAILZO,,25,25,9310,GILSO,1.0
GIAM|GIAN|GIANN|GYAN|JAIN|JIAM|JIAN|JIHAN|JYAN,M,JAIM,21,43,64,11339,GIAN,0.671875
GUIAMAR|JAIMAR,F,JAIMA,204,39,243,469,JAIMA,0.8395061728395061
GUIAMAR|JAIMA,M,JAIMAR,31,158,189,469,JAIMA,0.8359788359788359
JAYMARA,F,JAIMARA,348,,348,368,JAIMARA,1.0
GAIME|JAIMER|JAYME|JHAIME,M,JAIME,578,81823,82401,86116,JAIME,0.9929855220203638
GAIME|JAIME|JAYME|JHAIME,M,JAIMER,,144,144,86116,JAIME,1.0
JAYMERSON,M,JAIMERSON,,277,277,306,JAIMERSON,1.0
JAYMES,M,JAIMES,,519,519,573,JAIMES,1.0
JAYMESON,M,JAIMESON,,218,218,249,JAIMESON,1.0
,F,JAIMILE,27,,27,27,JAIMILE,1.0
,M,JAIMILSON,,197,197,197,JAIMILSON,1.0
JAIMILTOM,M,JAIMILTON,,408,408,440,JAIMILTON,1.0
,F,JAIMINA,33,,33,33,JAIMINA,1.0
JAIMI|JAIMY|JAYMI,M,JAIMIR,,697,697,1299,JAIMIR,1.0
,F,JAIMIRA,119,,119,119,JAIMIRA,1.0
,M,JAIMIRO,,61,61,61,JAIMIRO,1.0
JAIMISOM|JAYMISON,M,JAIMISON,,512,512,593,JAIMISON,1.0
,M,JAIMISSON,,113,113,113,JAIMISSON,1.0
JAIMOR,M,JAIMO,,62,62,101,JAIMO,1.0
JAIMO,M,JAIMOR,,39,39,101,JAIMO,1.0
JAIMI|JAIMIR|JAYMI,M,JAIMY,,77,77,1299,JAIMIR,1.0
GIAM|GIAN|GIANN|GYAN|JAIM|JIAM|JIAN|JIHAN|JYAN,F,JAIN,34,27,61,11339,GIAN,0.5573770491803278
GIANA|GIANNA|GUIANA|JAAINA|JAINAR|JAYNA|JAYNNA|JIANA|JUIANA,F,JAINA,2373,,2373,5307,JAINA,1.0
JAYNARA,F,JAINARA,3453,,3453,3658,JAINARA,1.0
,F,JAINARIA,73,,73,73,JAINARIA,1.0
GAINE|GIANE|GIANNE|GUIANE|GYANE|JAINER|JAINNE|JAYNE|JAYNNE|JHAINE|JHAYNE|JIANE|JIANNE|JUIANE,F,JAINE,31785,941,32726,44856,JAINE,0.9712461040151561
GIANI|GIANNI|GIANNY|GIANY|JAINI|JAINIR|JAINNI|JAINNY|JAINY|JAYNI|JAYNY|JIANI|JIANNI,M,JAINEI,,29,29,3955,GIANI,1.0
,F,JAINEIDE,61,,61,61,JAINEIDE,1.0
GAINE|GIANE|GIANNE|GUIANE|GYANE|JAINE|JAINNE|JAYNE|JAYNNE|JHAINE|JHAYNE|JIANE|JIANNE|JUIANE,M,JAINER,46,119,165,44856,JAINE,0.7212121212121212
,F,JAINES,84,42,126,126,JAINES,0.6666666666666666
GAINETE|GIANETE|JIANETE,F,JAINETE,75,,75,334,GIANETE,1.0
GIANI|GIANNI|GIANNY|GIANY|JAINEI|JAINIR|JAINNI|JAINNY|JAINY|JAYNI|JAYNY|JIANI|JIANNI,F,JAINI,1072,45,1117,3955,GIANI,0.9597135183527306
,F,JAINIA,24,,24,24,JAINIA,1.0
GIANICE,F,JAINICE,42,,42,75,JAINICE,1.0
,M,JAINILSON,,34,34,34,JAINILSON,1.0
GIANI|GIANNI|GIANNY|GIANY|JAINEI|JAINI|JAINNI|JAINNY|JAINY|JAYNI|JAYNY|JIANI|JIANNI,M,JAINIR,,32,32,3955,GIANI,1.0
GAINE|GIANE|GIANNE|GUIANE|GYANE|JAINE|JAINER|JAYNE|JAYNNE|JHAINE|JHAYNE|JIANE|JIANNE|JUIANE,F,JAINNE,256,,256,44856,JAINE,1.0
GIANI|GIANNI|GIANNY|GIANY|JAINEI|JAINI|JAINIR|JAINNY|JAINY|JAYNI|JAYNY|JIANI|JIANNI,F,JAINNI,20,,20,3955,GIANI,1.0
GIANI|GIANNI|GIANNY|GIANY|JAINEI|JAINI|JAINIR|JAINNI|JAINY|JAYNI|JAYNY|JIANI|JIANNI,F,JAINNY,119,,119,3955,GIANI,1.0
GIANO|JAINOR|JUIANO,M,JAINO,,211,211,480,JAINO,1.0
GIANO|JAINO|JUIANO,M,JAINOR,,53,53,480,JAINO,1.0
GIANI|GIANNI|GIANNY|GIANY|JAINEI|JAINI|JAINIR|JAINNI|JAINNY|JAYNI|JAYNY|JIANI|JIANNI,F,JAINY,519,,519,3955,GIANI,1.0
GAIO|JIAO,M,JAIO,,45,45,243,JIAO,1.0
,F,JAIONARA,102,,102,102,JAIONARA,1.0
,M,JAIQUE,,42,42,42,JAIQUE,1.0
GAIR|GIA|GUIA|JAHIR|JAHY|JAHYR|JAI|JAUIR|JAY|JAYR|JHAIR|JIA|JUIA,M,JAIR,1162,151241,152403,153936,JAIR,0.9923754781730019
GIARA|JAYRA|JUIARA,F,JAIRA,5987,57,6044,6302,JAIRA,0.9905691594970218
JAIRAN,M,JAIRAM,22,88,110,651,JAIRAN,0.8
JAIRAM,M,JAIRAN,63,478,541,651,JAIRAN,0.8835489833641405
,F,JAIRANE,183,,183,183,JAIRANE,1.0
,F,JAIRCE,66,,66,66,JAIRCE,1.0
,F,JAIRDES,21,20,41,41,JAIRDES,0.5121951219512195
,M,JAIRE,108,278,386,386,JAIRE,0.7202072538860104
,F,JAIRENE,175,,175,175,JAIRENE,1.0
,M,JAIRES,633,759,1392,1392,JAIRES,0.5452586206896551
,M,JAIRI,27,87,114,114,JAIRI,0.7631578947368421
,F,JAIRIA,32,,32,32,JAIRIA,1.0
,F,JAIRIANA,23,,23,23,JAIRIANA,1.0
,F,JAIRIANE,76,,76,76,JAIRIANE,1.0
,F,JAIRINE,44,,44,44,JAIRINE,1.0
,M,JAIRIO,,79,79,79,JAIRIO,1.0
,F,JAIRIS,110,59,169,169,JAIRIS,0.650887573964497
,M,JAIRISON,,152,152,152,JAIRISON,1.0
,M,JAIRISSON,,44,44,44,JAIRISSON,1.0
,F,JAIRLA,456,,456,456,JAIRLA,1.0
GIARLAN,M,JAIRLAN,,173,173,173,JAIRLAN,1.0
,F,JAIRLANE,124,,124,124,JAIRLANE,1.0
,F,JAIRLE,59,,59,59,JAIRLE,1.0
,F,JAIRLENE,120,,120,120,JAIRLENE,1.0
,M,JAIRLON,,43,43,43,JAIRLON,1.0
GAIRO|JAIRRO|JAYRO,M,JAIRO,262,78445,78707,79169,JAIRO,0.9966711982415796
JAIRON|JAYRON,M,JAIROM,,114,114,1863,JAIRON,1.0
JAIROM|JAYRON,M,JAIRON,,1685,1685,1863,JAIRON,1.0
,M,JAIRSO,,27,27,27,JAIRSO,1.0
JAIRSOM,M,JAIRSON,,594,594,623,JAIRSON,1.0
,M,JAIRTO,,110,110,110,JAIRTO,1.0
JAIRTOM,M,JAIRTON,,1324,1324,1387,JAIRTON,1.0
,M,JAIRZINHO,,169,169,169,JAIRZINHO,1.0
JAIZ,F,JAIS,54,48,102,122,JAIS,0.5294117647058824
JAIZA|JAYSA|JAYZA,F,JAISA,1448,,1448,2695,JAISA,1.0
JAIZE|JAYSE,F,JAISE,613,34,647,925,JAISE,0.9474497681607419
JAISY,F,JAISI,25,,25,54,JAISY,1.0
JAIZIA,F,JAISIA,39,,39,63,JAISIA,1.0
JAYSLA,F,JAISLA,224,,224,261,JAISLA,1.0
,F,JAISLAINE,81,,81,81,JAISLAINE,1.0
,M,JAISLAN,,160,160,160,JAISLAN,1.0
,F,JAISLANE,257,,257,257,JAISLANE,1.0
,F,JAISLANIA,26,,26,26,JAISLANIA,1.0
,F,JAISLENE,62,,62,62,JAISLENE,1.0
,F,JAISNARA,24,,24,24,JAISNARA,1.0
,M,JAISO,,229,229,229,JAISO,1.0
GAISON|JAISON|JAIZON|JAYSON|JHAISON|JHAYSON,M,JAISOM,,609,609,11697,JAISON,1.0
GAISON|JAISOM|JAIZON|JAYSON|JHAISON|JHAYSON,M,JAISON,57,10284,10341,11697,JAISON,0.9944879605454018
JAYSSA,F,JAISSA,243,,243,281,JAISSA,1.0
,F,JAISSE,66,,66,66,JAISSE,1.0
,M,JAISSO,,64,64,64,JAISSO,1.0
JAISSON|JAYSSON,M,JAISSOM,,79,79,1389,JAISSON,1.0
JAISSOM|JAYSSON,M,JAISSON,,1238,1238,1389,JAISSON,1.0
JAISI,F,JAISY,29,,29,54,JAISY,1.0
,M,JAITAN,,29,29,29,JAITAN,1.0
JAITOM|JAYTON,M,JAITON,,1270,1270,1382,JAITON,1.0
,F,JAIUMA,113,,113,113,JAIUMA,1.0
JAIUSOM,M,JAIUSON,,359,359,433,JAIUSON,1.0
JAIUTOM,M,JAIUTON,,111,111,135,JAIUTON,1.0
JAIUSA,F,JAIUZA,56,,56,131,JAIUSA,1.0
,M,JAIVALDO,,45,45,45,JAIVALDO,1.0
JAIVAN,M,JAIVAM,,27,27,262,JAIVAN,1.0
JAIVAM,M,JAIVAN,,235,235,262,JAIVAN,1.0
JAIS,M,JAIZ,,20,20,122,JAIS,1.0
JAISA|JAYSA|JAYZA,F,JAIZA,1095,,1095,2695,JAISA,1.0
JAISE|JAYSE,F,JAIZE,219,,219,925,JAISE,1.0
JAISIA,F,JAIZIA,24,,24,63,JAISIA,1.0
,M,JAIZINHO,,82,82,82,JAIZINHO,1.0
GAISON|JAISOM|JAISON|JAYSON|JHAISON|JHAYSON,M,JAIZON,,35,35,11697,JAISON,1.0
JAC,M,JAK,31,74,105,175,JAK,0.7047619047619048
JACKIELE|JAKCIELE,F,JAKCELE,20,,20,89,JACKIELE,1.0
,F,JAKCELIA,21,,21,21,JAKCELIA,1.0
,F,JAKCIANE,69,,69,69,JAKCIANE,1.0
JACKELENE|JACKILENE|JACKLENE,F,JAKCILENE,82,,82,228,JAKCILENE,1.0
JACKSOM|JACKSON,M,JAKCSON,,268,268,60322,JACKSON,1.0
JACE|JACER,M,JAKE,41,84,125,355,JACE,0.672
JACEANE,F,JAKEANE,66,,66,128,JAKEANE,1.0
JACILANE|JACLANE|JAKLANE,F,JAKELANE,110,,110,516,JACILANE,1.0
GACILENE|JACELENE|JACILENE|JACLENE|JACYLENE|JAKILENE|JAKLENE,F,JAKELENE,35,,35,11949,JACILENE,1.0
GACIELI|JACELI|JACELY|JACIELI|JACIELY|JACILEI|JAKIELI,F,JAKELI,39,,39,1772,JACIELI,1.0
JACELAINE|JACILAINE|JACILIANE|JAKELAINE,F,JAKELIANE,35,,35,302,JACILAINE,1.0
JACELINA|JACOLINA,F,JAKELINA,193,,193,341,JAKELINA,1.0
JACELINE|JACILINE|JACLINE|JACUELINE|JAKELINNE|JAKELYNE|JAKLINE|JAKUELINE,F,JAKELINE,15787,74,15861,18051,JAKELINE,0.9953344681924217
JAKELINY,F,JAKELINI,312,,312,439,JAKELINI,1.0
JACELINE|JACILINE|JACLINE|JACUELINE|JAKELINE|JAKELYNE|JAKLINE|JAKUELINE,F,JAKELINNE,28,,28,18051,JAKELINE,1.0
JAKELINI,F,JAKELINY,127,,127,439,JAKELINI,1.0
JAKELLYNE,F,JAKELLINE,142,,142,185,JAKELLINE,1.0
,F,JAKELLINY,22,,22,22,JAKELLINY,1.0
JAKELLINE,F,JAKELLYNE,43,,43,185,JAKELLINE,1.0
JACELMA|JACIELMA|JACILMA,F,JAKELMA,33,,33,1406,JACIELMA,1.0
JACELINE|JACILINE|JACLINE|JACUELINE|JAKELINE|JAKELINNE|JAKLINE|JAKUELINE,F,JAKELYNE,132,,132,18051,JAKELINE,1.0
,M,JAKES,,305,305,305,JAKES,1.0
GACIANE|JACIANE|JACIANNE|JACYANE|JACYANNE,F,JAKIANE,29,,29,9471,JACIANE,1.0
JACEL|JACIEL|JACIL,M,JAKIEL,,42,42,4776,JACIEL,1.0
GACIELE|JACELE|JACIELE|JACILE|JACYELE|JAKELE,F,JAKIELE,64,,64,5301,JACIELE,1.0
GACIELI|JACELI|JACELY|JACIELI|JACIELY|JACILEI|JAKELI,F,JAKIELI,30,,30,1772,JACIELI,1.0
GACILENE|JACELENE|JACILENE|JACLENE|JACYLENE|JAKELENE|JAKLENE,F,JAKILENE,65,,65,11949,JACILENE,1.0
JACISON|JAKISOM,M,JAKISON,,612,612,694,JAKISON,1.0
JACILANE|JACLANE|JAKELANE,F,JAKLANE,21,,21,516,JACILANE,1.0
GACILENE|JACELENE|JACILENE|JACLENE|JACYLENE|JAKELENE|JAKILENE,F,JAKLENE,63,,63,11949,JACILENE,1.0
JACELINE|JACILINE|JACLINE|JACUELINE|JAKELINE|JAKELINNE|JAKELYNE|JAKUELINE,F,JAKLINE,601,,601,18051,JAKELINE,1.0
JACOB,M,JAKOB,,30,30,3781,JACOB,1.0
JACQELINE|JACQLINE|JACQUELINE|JACQUELYNE|JACQUILINE|JACQULINE,F,JAKQUELINE,54,,54,13616,JACQUELINE,1.0
JACS,M,JAKS,,183,183,296,JAKS,1.0
JACSANDRO,M,JAKSANDRO,,20,20,54,JACSANDRO,1.0
JACSIEL|JACSUEL|JAKSIEL|JAKSUEL,M,JAKSOEL,,21,21,160,JACSUEL,1.0
JACSOM|JACSON|JAKSON,M,JAKSOM,,1018,1018,52685,JACSON,1.0
JACSOM|JACSON|JAKSOM,M,JAKSON,99,19508,19607,52685,JACSON,0.994950782883664
JACSSOM|JACSSON|JAKSSOM,M,JAKSSON,,135,135,391,JACSSON,1.0
JACELINE|JACILINE|JACLINE|JACUELINE|JAKELINE|JAKELINNE|JAKELYNE|JAKLINE,F,JAKUELINE,95,,95,18051,JAKELINE,1.0
GEILAN|GELAN|GILAN|GIULAN|JAILAN|JOALAN|JOELAN|JOILAN|JOLAN,M,JALAN,,37,37,645,JAILAN,1.0
GILANA|GIULANA|JAILANA|JOLANA|JULANA|JULHANA,F,JALANA,43,,43,1156,JULANA,1.0
GAILDA|GALBA|GEALDA|GEILDA|GELBA|GELDA|GILDA|GILDAR|GOLDA|GUELDA|GUILDA|JAILDA|JALDA|JEILDA|JELBA|JELDA|JILDA|JOALBA|JOALDA|JOELBA|JOELDA|JOILDA,M,JALBA,47,49,96,40041,GILDA,0.5104166666666666
GALBAS|GILDAS|GILDAZ,M,JALBAS,,88,88,179,JALBAS,1.0
GALBE|GALBER|GEILDE|GELBE|GELBER|GELDE|GELDER|GILBER|GILDE|GILDER|GUALBER|GUELBER|GUILBER|JAILDE|JALDE|JALDER|JEILDE|JELBER|JELDER|JILBER|JOELBE|JOELBER|JOELDE|JOELDER|JOILDE|JOLBER,M,JALBER,,128,128,3859,JAILDE,1.0
GELBERT|GILBERT|GILBERTH|GUILBERT|GUILBERTH|JILBERT|JOELBERT|JOLBERT,M,JALBERT,,55,55,2598,GILBERT,1.0
GALBERTO|GELBERTO|GIILBERTO|GILBERTO|GILDERTO|GIULBERTO|GLBERTO|GOLBERTO|GUALBERTO|GUILBERTO|GULBERTO|JILBERTO|JOLBERTO|JULBERTO,M,JALBERTO,,25,25,219122,GILBERTO,1.0
GELCIANE|GILCIANE|JELCIANE|JILCIANE|JULCIANE,F,JALCIANE,26,,26,1467,GILCIANE,1.0
GELCILENE|GILCELENE|GILCILENE|GILCLENE|JELCILENE|JILCELENE|JILCILENE|JULCILENE,F,JALCILENE,41,,41,2741,GILCILENE,1.0
GELCIRA|GILCIRA|JELCIRA,F,JALCIRA,72,,72,501,GELCIRA,1.0
GAILDA|GALBA|GEALDA|GEILDA|GELBA|GELDA|GILDA|GILDAR|GOLDA|GUELDA|GUILDA|JAILDA|JALBA|JEILDA|JELBA|JELDA|JILDA|JOALBA|JOALDA|JOELBA|JOELDA|JOILDA,F,JALDA,150,,150,40041,GILDA,1.0
GILDAI|GILDAIR|JILDAIR,M,JALDAIR,,46,46,302,GILDAIR,1.0
GILDEANE|JILDEANE,F,JALDEANE,38,,38,1282,GILDEANE,1.0
GILDECI|GILDECIR|GILDECY|JALDECIR|JILDECI|JILDECIR|JULDECI,M,JALDECI,50,74,124,1772,GILDECI,0.5967741935483871
GILDECI|GILDECIR|GILDECY|JALDECI|JILDECI|JILDECIR|JULDECI,M,JALDECIR,23,85,108,1772,GILDECI,0.7870370370370371
GILDEMA|GILDEMAR|JILDEMAR|JOLDEMAR,M,JALDEMAR,,31,31,3174,GILDEMAR,1.0
GILDEMIR|JALDEMI,M,JALDEMIR,,304,304,449,JALDEMIR,1.0
GILDENICE|JILDENICE,F,JALDENICE,50,,50,470,GILDENICE,1.0
GILDENEI|GILDENI|GILDENIR|GILDENY|JALDENI|JILDENI|JILDENIR,M,JALDENIR,24,116,140,1336,GILDENIR,0.8285714285714286
GALBE|GALBER|GEILDE|GELBE|GELBER|GELDE|GELDER|GILBER|GILDE|GILDER|GUALBER|GUELBER|GUILBER|JAILDE|JALBER|JALDE|JEILDE|JELBER|JELDER|JILBER|JOELBE|JOELBER|JOELDE|JOELDER|JOILDE|JOLBER,M,JALDER,,62,62,3859,JAILDE,1.0
GILBETE|GILDETE|GILDETHE|JAILDETE|JILDETE|JULDETE,F,JALDETE,144,21,165,22544,GILDETE,0.8727272727272727
GILDIANE,F,JALDIANE,30,,30,119,GILDIANE,1.0
GILDELENE|GILDILENE|JILDILENE,F,JALDILENE,57,,57,477,GILDILENE,1.0
GILDINEI|GILDINEY|JILDINEI,M,JALDINEI,,27,27,251,GILDINEI,1.0
GILDINETE,F,JALDINETE,67,,67,112,JALDINETE,1.0
GALBI|GELDI|GELDIR|GILDEI|GILDEIR|JALDEIR|JALDI|JILDEIR|JOALDIR,M,JALDIR,,240,240,827,GILDEIR,1.0
,F,JALDIRENE,44,,44,44,JALDIRENE,1.0
GALBO|GEALDO|GEEALDO|GEILDO|GELDO|GILDO|GILDOR|GUILDO|JAILDO|JEILDO|JILDO|JOAILDO|JOALBO|JOALDO|JOELDO|JOILDO,M,JALDO,,583,583,27086,GILDO,1.0
GEIELE|GEILE|GELE|GIELE|GILE|GIULE|GLAE|GLAER|GUILE|GUILER|GUILHER|JAELE|JAILE|JAYLE|JEIELE|JEILE|JHULE|JIULE|JOALE|JOELE|JOIELE|JOILE|JULE|JULHE,M,JALE,,21,21,2737,JOELE,1.0
GELEANE|GILEANE|GLEANE|JILEANE|JULEANE,F,JALEANE,26,,26,329,GILEANE,1.0
GELIEL|GILIEL|GILL|JALIEL|JALIL|JELIEL|JILIEL|JILL|JOLIEL|JULIEL,M,JALEEL,,21,21,1692,JULIEL,1.0
GELEIDE|GILEIDE|GIULEIDE|GLEIBE|GLEIBER|GLEIDE|GLEIDER|GLEYBE|GLEYBER|GLEYDE|JAILEIDE|JILEIDE|JOELEIDE|JOLEIDE|JUILEIDE|JULEIDE|JULIEIDE,F,JALEIDE,25,,25,9964,GLEIDE,1.0
GELENE|GIELENE|GILENE|GIULENE|GLAENE|GLENE|GLENER|GUILENE|GUILHENE|JAILENE|JILENE|JIULENE|JOALENE|JOELENE|JOILENE|JOLENE|JUELENE|JUILENE|JULENE,F,JALENE,161,,161,4585,GILENE,1.0
,M,JALERSON,,37,37,37,JALERSON,1.0
GILES|JAILES|JOALES|JOELES|JOILES|JULES,M,JALES,,1740,1740,2268,JALES,1.0
GLESSON|JOALESSON,M,JALESSON,,27,27,103,GLESSON,1.0
GILETE|GLETE|JULETE,F,JALETE,62,,62,173,JALETE,1.0
GEIULIA|GELIA|GELIAR|GEULIA|GILIA|GILIAR|GIULIA|GIULYA|GLAI|GLAIR|GLAY|GUILIA|GUIULIA|GULIA|GYULIA|JAELIA|JELIA|JHULIA|JHULYA|JILIA|JILIAR|JIULIA|JIULYA|JLIA|JOALIA|JOELHIA|JOELIA|JOLAIR|JOLIA|JUELIA|JUILIA|JULHIA|JULIA|JULIAA|JULIAH|JULIAR|JULIIA|JULYA,F,JALIA,33,,33,464428,JULIA,1.0
